sex,hist_bias,proj_bias,seed,dgp,scenario
F,8.937409040870143e-4,10.318976829719444,32,spec_linear,up1pc
M,-0.4310929139615119,5.292307834685369,32,spec_linear,down1pc
F,8.937409040870143e-4,8.527599351900248,32,spec_linear,down1pc
M,-0.4310929139615119,2.5151741859950705,32,spec_linear,quit
F,8.937409040870143e-4,6.712924298449066,32,spec_linear,quit
M,0.4663774272538953,11.73347728351082,33,spec_linear,freeze
F,-0.10261006915468643,17.851246052022237,33,spec_linear,freeze
M,0.4663774272538953,11.758481459941653,33,spec_linear,up1pc
F,-0.10261006915468643,17.664223176286686,33,spec_linear,up1pc
M,0.4663774272538953,12.18554033646829,33,spec_linear,down1pc
F,-0.10261006915468643,18.157702948260376,33,spec_linear,down1pc
M,0.4663774272538953,13.331219068346194,33,spec_linear,quit
F,-0.10261006915468643,23.685132793974567,33,spec_linear,quit
M,-0.6733266718537146,-3.6370446056565746,34,spec_linear,freeze
F,-0.7590915320960316,7.730565867931431,34,spec_linear,freeze
M,-0.6733266718537146,-3.8779735327585025,34,spec_linear,up1pc
F,-0.7590915320960316,8.131638940244875,34,spec_linear,up1pc
M,-0.6733266718537146,-3.298283137624079,34,spec_linear,down1pc
F,-0.7590915320960316,7.391350935400762,34,spec_linear,down1pc
M,-0.6733266718537146,3.229479736042453,34,spec_linear,quit
F,-0.7590915320960316,8.245114186035421,34,spec_linear,quit
M,-0.0948163449651996,-0.815097518678729,35,spec_linear,freeze
F,-0.4306173197082112,-5.537728778232986,35,spec_linear,freeze
M,-0.0948163449651996,-0.6393904441424914,35,spec_linear,up1pc
F,-0.4306173197082112,-6.322294048726666,35,spec_linear,up1pc
M,-0.0948163449651996,-1.0119430175667516,35,spec_linear,down1pc
F,-0.4306173197082112,-4.84772087432865,35,spec_linear,down1pc
M,-0.0948163449651996,1.0329055408465662,35,spec_linear,quit
F,-0.4306173197082112,-4.031179927170729,35,spec_linear,quit
M,-0.05136814431580153,10.145583292009652,36,spec_linear,freeze
F,1.2672193239142218,9.119768917451045,36,spec_linear,freeze
M,-0.05136814431580153,11.265340438164614,36,spec_linear,up1pc
F,1.2672193239142218,9.45033090622856,36,spec_linear,up1pc
M,-0.05136814431580153,9.4450192967886,36,spec_linear,down1pc
F,1.2672193239142218,8.817692484898869,36,spec_linear,down1pc
M,-0.05136814431580153,10.630677539138278,36,spec_linear,quit
F,1.2672193239142218,7.13965388244063,36,spec_linear,quit
M,-0.3222222908692327,-15.878680544075257,37,spec_linear,freeze
F,-0.7548664307956761,-10.929796938403765,37,spec_linear,freeze
M,-0.3222222908692327,-16.762830050281917,37,spec_linear,up1pc
F,-0.7548664307956761,-11.908213348680157,37,spec_linear,up1pc
M,-0.3222222908692327,-15.073002453100777,37,spec_linear,down1pc
F,-0.7548664307956761,-10.088383147428406,37,spec_linear,down1pc
M,-0.3222222908692327,-8.91424949820592,37,spec_linear,quit
F,-0.7548664307956761,-7.143545175150045,37,spec_linear,quit
M,0.13806387932535394,0.7991267874008342,38,spec_linear,freeze
F,-0.3956422532318831,-0.6413265106513295,38,spec_linear,freeze
M,0.13806387932535394,0.6090200782820564,38,spec_linear,up1pc
F,-0.3956422532318831,-1.1120151580962152,38,spec_linear,up1pc
M,0.13806387932535394,1.0415342152408869,38,spec_linear,down1pc
F,-0.3956422532318831,-0.11645920468975597,38,spec_linear,down1pc
M,0.13806387932535394,1.5864480205181513,38,spec_linear,quit
F,-0.3956422532318831,4.100473168116405,38,spec_linear,quit
M,0.21159268713672205,-5.190621382444062,39,spec_linear,freeze
F,-0.4293212482433355,-14.846640061164667,39,spec_linear,freeze
M,0.21159268713672205,-5.619654990816006,39,spec_linear,up1pc
F,-0.4293212482433355,-15.34596394907928,39,spec_linear,up1pc
M,0.21159268713672205,-4.957853677441483,39,spec_linear,down1pc
F,-0.4293212482433355,-14.38760347294451,39,spec_linear,down1pc
M,0.21159268713672205,-1.4256485864596138,39,spec_linear,quit
F,-0.4293212482433355,-11.123027910235587,39,spec_linear,quit
M,0.42276073151660387,11.149492705095476,40,spec_linear,freeze
F,-0.36263169865601247,22.07778851357126,40,spec_linear,freeze
M,0.42276073151660387,12.136693660358324,40,spec_linear,up1pc
F,-0.36263169865601247,23.303989666229487,40,spec_linear,up1pc
M,0.42276073151660387,10.402622318093497,40,spec_linear,down1pc
F,-0.36263169865601247,21.048414158014253,40,spec_linear,down1pc
