causa2,año,mujer,edad,muertes_suavizadas
esófago,2007,0,43,0.507373182298895
esófago,2007,0,44,0.7302337162287069
esófago,2007,0,45,0.9801149459337634
esófago,2007,0,46,1.2152852169691497
esófago,2007,0,47,1.3985451920817016
esófago,2007,0,48,1.5012322864812877
esófago,2007,0,49,1.5376858430386453
esófago,2007,0,50,1.5465764911798925
esófago,2007,0,51,1.566106352442679
esófago,2007,0,52,1.6557020568675413
esófago,2007,0,53,1.83219857473569
esófago,2007,0,54,2.13031754095348
esófago,2007,0,55,2.5553469384982446
esófago,2007,0,56,3.0523173418469502
esófago,2007,0,57,3.583612380736993
esófago,2007,0,58,4.025966854539614
esófago,2007,0,59,4.3437208582001485
esófago,2007,0,60,4.5537126689781795
esófago,2007,0,61,4.685129760293371
esófago,2007,0,62,4.86172859987614
esófago,2007,0,63,5.097820065809679
esófago,2007,0,64,5.403835750442397
esófago,2007,0,65,5.7543558575580205
esófago,2007,0,66,6.007506820372191
esófago,2007,0,67,6.12525261318736
esófago,2007,0,68,6.060209540418568
esófago,2007,0,69,5.840658288519095
esófago,2007,0,70,5.615085253762639
esófago,2007,0,71,5.423201365847557
esófago,2007,0,72,5.381725148650071
esófago,2007,0,73,5.500050882628341
esófago,2007,0,74,5.731239260725739
esófago,2007,0,75,6.054430721243465
esófago,2007,0,76,6.279859216532551
esófago,2007,0,77,6.345032885564103
esófago,2007,0,78,6.200763086027667
esófago,2007,0,79,5.861637468268838
esófago,2007,0,80,5.491404252094198
esófago,2007,0,81,5.140311677347639
esófago,2007,0,82,4.875507644894048
esófago,2007,0,83,4.703015093516756
esófago,2007,0,84,4.506858061567058
esófago,2007,0,85,4.2454483477006715
esófago,2007,0,86,3.7927160897673806
esófago,2007,0,87,3.1619434976628256
esófago,2007,0,88,2.4723955909906596
esófago,2007,0,89,1.8188201337862702
esófago,2007,1,0,0.002878454778962475
esófago,2007,1,1,0.0027089798723557972
esófago,2007,1,2,0.002551624789729609
esófago,2007,1,3,0.0024077398929829765
esófago,2007,1,4,0.0022774138895702662
esófago,2007,1,5,0.0021617134576518847
esófago,2007,1,6,0.0020602429036471305
esófago,2007,1,7,0.001973816699738485
esófago,2007,1,8,0.0019018996932260712
esófago,2007,1,9,0.0018453642781990432
esófago,2007,1,10,0.0018038565594152409
esófago,2007,1,11,0.001778635535879788
esófago,2007,1,12,0.0017698832876497253
esófago,2007,1,13,0.0017797203991281939
esófago,2007,1,14,0.001809322374753239
esófago,2007,1,15,0.0018623243562660738
esófago,2007,1,16,0.0019416662167674834
esófago,2007,1,17,0.0020535741234599444
esófago,2007,1,18,0.0022042483060040236
esófago,2007,1,19,0.002404653355057148
esófago,2007,1,20,0.00266730373634485
esófago,2007,1,21,0.00301235006256426
esófago,2007,1,22,0.0034650196366435818
esófago,2007,1,23,0.004063266174192403
esófago,2007,1,24,0.004858547969070413
esófago,2007,1,25,0.005925398360483576
esófago,2007,1,26,0.007370361717033793
esófago,2007,1,27,0.009340018303773033
esófago,2007,1,28,0.012051636852442784
esófago,2007,1,29,0.01577681177086621
esófago,2007,1,30,0.0209207394103156
esófago,2007,1,31,0.027877208286609508
esófago,2007,1,32,0.03719561413334744
esófago,2007,1,33,0.04888769637619794
esófago,2007,1,34,0.06282328162764333
esófago,2007,1,35,0.07673077957836232
esófago,2007,1,36,0.08790951394401463
esófago,2007,1,37,0.0932136655635423
esófago,2007,1,38,0.0908708044497502
esófago,2007,1,39,0.08331179248430076
esófago,2007,1,40,0.07283446872150298
esófago,2007,1,41,0.0632090098406066
esófago,2007,1,42,0.05598283124997661
esófago,2007,1,43,0.05187252934410661
