causa,mujer,edad,anio,casos
cavidad oral y faringe,0,16,2003,0.20164764096921914
cavidad oral y faringe,0,16,2004,0.18191842569158567
cavidad oral y faringe,0,16,2005,0.16602267124756007
cavidad oral y faringe,0,16,2006,0.151122243427336
cavidad oral y faringe,0,16,2007,0.14538922307737379
cavidad oral y faringe,0,16,2008,0.14253780285621057
cavidad oral y faringe,0,16,2009,0.14331498809218823
cavidad oral y faringe,0,16,2010,0.14418408666934354
cavidad oral y faringe,0,16,2011,0.15073035845059568
cavidad oral y faringe,0,16,2012,0.12841664378161682
cavidad oral y faringe,0,16,2013,0.11669204834662565
cavidad oral y faringe,0,16,2014,0.11067430909738908
cavidad oral y faringe,0,16,2015,0.11083115495658022
cavidad oral y faringe,0,16,2016,0.11446632382908233
cavidad oral y faringe,0,16,2017,0.05842468270037556
cavidad oral y faringe,0,16,2018,0.041998859730202544
cavidad oral y faringe,0,16,2019,0.0311841830058844
cavidad oral y faringe,0,16,2020,0.02982330615698045
cavidad oral y faringe,0,16,2021,0.029615968436692664
cavidad oral y faringe,0,16,2022,0.049826708867923925
cavidad oral y faringe,0,17,1998,0.34187517417187807
cavidad oral y faringe,0,17,1999,0.31177412907810376
cavidad oral y faringe,0,17,2000,0.2841736442440855
cavidad oral y faringe,0,17,2001,0.25907371966982007
cavidad oral y faringe,0,17,2002,0.25243283066013306
cavidad oral y faringe,0,17,2003,0.2309776585218873
cavidad oral y faringe,0,17,2004,0.21219179698882265
cavidad oral y faringe,0,17,2005,0.19605982358655538
cavidad oral y faringe,0,17,2006,0.18237711405644316
cavidad oral y faringe,0,17,2007,0.18209820761389092
cavidad oral y faringe,0,17,2008,0.1763806647153659
cavidad oral y faringe,0,17,2009,0.1730214419941068
cavidad oral y faringe,0,17,2010,0.1704897516189609
cavidad oral y faringe,0,17,2011,0.1628104903704676
cavidad oral y faringe,0,17,2012,0.13584943379777875
cavidad oral y faringe,0,17,2013,0.12374711309317876
cavidad oral y faringe,0,17,2014,0.11865783554610647
cavidad oral y faringe,0,17,2015,0.11908512909194673
cavidad oral y faringe,0,17,2016,0.11028098108473006
cavidad oral y faringe,0,17,2017,0.04857330097269558
cavidad oral y faringe,0,17,2018,0.03246617431811496
cavidad oral y faringe,0,17,2019,0.024052354904461844
cavidad oral y faringe,0,17,2020,0.022419546423562267
cavidad oral y faringe,0,17,2021,0.0212542988138833
cavidad oral y faringe,0,17,2022,0.03403665119391073
cavidad oral y faringe,0,18,1998,0.32295673443848333
cavidad oral y faringe,0,18,1999,0.3009313350563015
cavidad oral y faringe,0,18,2000,0.2804242893648241
cavidad oral y faringe,0,18,2001,0.2614355973640803
cavidad oral y faringe,0,18,2002,0.26042925810381107
cavidad oral y faringe,0,18,2003,0.24340075357096796
cavidad oral y faringe,0,18,2004,0.22799306884981752
cavidad oral y faringe,0,18,2005,0.21411272119109262
cavidad oral y faringe,0,18,2006,0.2013357535097779
cavidad oral y faringe,0,18,2007,0.20089525442824893
cavidad oral y faringe,0,18,2008,0.19320029984517673
cavidad oral y faringe,0,18,2009,0.18824980676459496
cavidad oral y faringe,0,18,2010,0.18353772934053214
cavidad oral y faringe,0,18,2011,0.1729632471218974
cavidad oral y faringe,0,18,2012,0.1438403156075819
cavidad oral y faringe,0,18,2013,0.13135649422046522
cavidad oral y faringe,0,18,2014,0.12632607593969308
cavidad oral y faringe,0,18,2015,0.1275150919899497
cavidad oral y faringe,0,18,2016,0.1176238543020866
cavidad oral y faringe,0,18,2017,0.05202076751625261
cavidad oral y faringe,0,18,2018,0.035187374526487354
cavidad oral y faringe,0,18,2019,0.026313023254325957
cavidad oral y faringe,0,18,2020,0.024618887982600344
cavidad oral y faringe,0,18,2021,0.02346062247601393
cavidad oral y faringe,0,18,2022,0.03778663000328808
cavidad oral y faringe,0,19,1998,0.2579017502752356
cavidad oral y faringe,0,19,1999,0.2509005091297864
cavidad oral y faringe,0,19,2000,0.2438044698744667
cavidad oral y faringe,0,19,2001,0.2366136325093055
cavidad oral y faringe,0,19,2002,0.2448042002441027
cavidad oral y faringe,0,19,2003,0.23692569799171248
cavidad oral y faringe,0,19,2004,0.22894600017775474
cavidad oral y faringe,0,19,2005,0.2208840938026913
cavidad oral y faringe,0,19,2006,0.21070386862865825
cavidad oral y faringe,0,19,2007,0.20964983416652763
cavidad oral y faringe,0,19,2008,0.2017195790652307
cavidad oral y faringe,0,19,2009,0.19690023251574518
cavidad oral y faringe,0,19,2010,0.19048352064738922
cavidad oral y faringe,0,19,2011,0.1667654563321606
cavidad oral y faringe,0,19,2012,0.13176330689408486
cavidad oral y faringe,0,19,2013,0.11928032538163069
cavidad oral y faringe,0,19,2014,0.11632572554398826
cavidad oral y faringe,0,19,2015,0.12112871299168805
cavidad oral y faringe,0,19,2016,0.13451710932784047
cavidad oral y faringe,0,19,2017,0.0675663093334524
cavidad oral y faringe,0,19,2018,0.04928199306784927
cavidad oral y faringe,0,19,2019,0.03743262782187445
cavidad oral y faringe,0,19,2020,0.035976594585988446
cavidad oral y faringe,0,19,2021,0.035823118803343795
cavidad oral y faringe,0,19,2022,0.060434670874471734
cavidad oral y faringe,0,20,1998,0.17001767211866553
cavidad oral y faringe,0,20,1999,0.1793794225756099
cavidad oral y faringe,0,20,2000,0.18703322312213633
cavidad oral y faringe,0,20,2001,0.19297907375827383
cavidad oral y faringe,0,20,2002,0.19143826546841983
cavidad oral y faringe,0,20,2003,0.19389408549657225
cavidad oral y faringe,0,20,2004,0.19469200072626344
cavidad oral y faringe,0,20,2005,0.1936711507145222
cavidad oral y faringe,0,20,2006,0.189742231999159
cavidad oral y faringe,0,20,2007,0.19343497959702807
cavidad oral y faringe,0,20,2008,0.18504499388690215
cavidad oral y faringe,0,20,2009,0.18087620502347296
cavidad oral y faringe,0,20,2010,0.17504038741075445
cavidad oral y faringe,0,20,2011,0.14637516852551088
cavidad oral y faringe,0,20,2012,0.06303059081259227
cavidad oral y faringe,0,20,2013,0.05125981472835786
cavidad oral y faringe,0,20,2014,0.0499049386339045
cavidad oral y faringe,0,20,2015,0.05307677318497764
cavidad oral y faringe,0,20,2016,0.0696743553428118
cavidad oral y faringe,0,20,2017,0.15888822841889033
cavidad oral y faringe,0,20,2018,0.14010295392492284
cavidad oral y faringe,0,20,2019,0.11621288428508991
cavidad oral y faringe,0,20,2020,0.11486485917302851
cavidad oral y faringe,0,20,2021,0.11756601443439957
cavidad oral y faringe,0,20,2022,0.10292622221744147
cavidad oral y faringe,0,21,1998,0.08125461648245674
cavidad oral y faringe,0,21,1999,0.10602843227514189
cavidad oral y faringe,0,21,2000,0.12748114635688906
cavidad oral y faringe,0,21,2001,0.1456127587277274
cavidad oral y faringe,0,21,2002,0.15572266288282993
cavidad oral y faringe,0,21,2003,0.16687541748840462
cavidad oral y faringe,0,21,2004,0.17480438290125278
cavidad oral y faringe,0,21,2005,0.1791795423499897
cavidad oral y faringe,0,21,2006,0.17892971040198274
cavidad oral y faringe,0,21,2007,0.18664466901741425
cavidad oral y faringe,0,21,2008,0.1801034157409471
